movie_seq,review_seq,star_score,document,label
2,14,8,초등학년학년 처음 보는 자막영화라 조금걱정했지만 재미있게 잘봤다고 하네요환타지 영화라 아이들의 무한 상상력을 길러줄수있는거같아 좋았어요,1
2,15,10,너무나 화려하고 탄탄해서 보는 내내 감탄하고 벅찼다오열,1
2,16,10,이거 보다가 지진 나서 평생 못잊을거 같다,1
2,17,1,온가족을 잠들게 만드는 영화,0
2,18,3,내용이 황당합니다 주인공이 발암캐릭터임,0
2,19,9,조니뎁의 연기를 보면 연기를 한다가 아니라 실제 인물인거 같은 착각 재밌었어요 아주마니,1
2,20,10,영상미가 좋았어요 팀 버튼 감독이 제작이여서 아쉬웠던것도 있지만 좋았어요,1
2,21,8,재미있게봤어요,1
2,22,5,기대보다 실망이네요,0
2,23,10,보고싶은 앨런릭먼 ㅜㅜ,1
2,24,10,시간 역할한 배우분 매우 마음에 들었습니다 추천할만한 영화,1
2,25,6,그냥저냥그냥저냥그냥그럼,0
2,26,5,편을 뛰어넘지는 못한,0
2,27,10,영화짱재미있었어요동화에 주인공이된기분이였어요영화가끝나고도 여운이남아ㅜ집에가기싫었어요모자장수하고 그동화속나라에서 살고싶었어요,1
2,28,10, 추천합니다,1
2,29,10,오옹오옹오옹오옹오옹,1
2,30,10,이상한 나라의 엘리스도 재미있었는데거울 나라의 엘리스도 재미있었어요시간가는줄 모르고 잘 보았습니다,1
2,31,10,넘 재밌었어요 아이 어른 모두 관람하기 좋은거 같아요,1
2,32,5,기대한 영화는 아니였는데 영상화려해서 볼만했어요,0
2,33,4,킬링타임으로보게에는좋아요ㅎ보세여,0
2,34,8,로보면 더재미있을각 퀄리티 대박,1
2,35,9,살짝 지루한감이 있었지만 좋았어요,1
2,36,9,개인적으로 재밌었습니다,1
2,37,10,영상미에 조니뎁 연기력까지 최괴에요,1
2,38,8,아이가 보기에는 분장이 너무 무서웠어요 엄마랑 함꺼 봤어요그런데과거로돌아가는 크로노스피어 장면이 흥미로웠어요 내가 거기에 타고 시간여행을 한다면 무섭고도 재미있을거에요,1
2,39,10,와 완전 내면의 판타지를 불어일으키는 명작이었습니다,1
2,40,10,케릭터가 너무 잼있습니다,1
2,41,7,전작을 안보고 봐도 재미있는영화,1
2,42,8,명절에 아이들하고 보기에 좋아요,1
2,43,9,재미있게 봤어요 추석연휴 가족단위구성 관람객이 많네요,1
2,44,10,재밌네요 아주 재밌군요,1
2,45,8,시간가는줄 모르고 잘봤습니다,1
2,46,7,왕대가리여자랑 흰색공주님 화해한거 ㅊㅋㅊㅋ,1
2,47,4,봐줄만했습니다ㅎ재밌당,0
2,48,8,역시 팀 버튼 감독은 나를 실망시키지 않았다 식상하다는 편견을 가질 수도 있지만 추석에 가족들과 보기에 딱 좋은 명배우들의 빨려들어가는 판타지,1
2,49,6,그냥저냥기대이하였어요,0
2,50,8,재미는 있지만 원작이 더 좋았다,1
3,0,10,신혜선연기 넘 좋았어요,1
3,1,10,신혜선 배우 큰 스크린으로 봐도 아우라 장난아니다 연기력 원래 쩌는건 알았는데 이번에 새삼 다시 보게됨 동생 역 배우도 처음 보는데 연기 너무 잘한다 연기구멍 도 없어서 그런지 몰입도도 좋고 오랜만에 극장에,1
3,2,10,신혜선 배종옥 연기 미쳤다 소름 돋네요 아쉬운 것들 조차 다 덮어버리네여,1
3,3,9,엄마와 딸의 사랑이 보기 좋았다 연기력이 뛰어나고 영상미도 좋았다,1
3,4,10,보기 전에 지루하다는 평이 있어서 좀 걱정했는데 최근 본 영화 중에 가장 꿀잼이었어용 익숙한 소재고 농촌 지역 사건이라 규모가 좀 작아서 그렇게 느끼는 것 같기도 근데 스토리 탄탄하고 크고 작은 반전들이 있어서,1
3,5,10,오늘 엄마랑 같이 봤는데 강추 스토리 탄탄 해서 지루할 틈이없음 ,1
3,6,10,코로나때문에 개월만에 본 영화라 더 재밌게봤어요연기력도 좋고 잘봤어요,1
3,7,8,신혜선이라는 배우 타이틀에 길이 남을 작품 인거 같아요 오랜만에 영화관 가서 잘 보고 왔습니다,1
3,8,10,간만에 넘 재밌게 본 영화 배우들 연기와 포스도 후덜덜하고 특히 신혜선 배우의 재발견 몰입도도 좋고 긴장감 있게 잘 봤음 ,1
3,9,10,신혜선 완전 영또 매운맛ㅠㅠㅠ 안정인한테 감정이입되는 결말까지 완벽,1
3,10,10,배우분들의 연기가 좋아서 몰입이 너무 됐습니다,1
3,11,10,신혜선 배우의 성장에 기쁨을 느낀 영화입니다 첫 주연이라 알고 있는데 앞으로도 흥하길 기원합니다,1
3,12,10,배우님들 연기 대박이에요 ㅠㅠ 스토리도 탄탄해서 몰입감 대박이었음 기다려서 본 보람이 있었다능ㅋㅋ,1
3,13,10,긴장감과 몰입감 최고 시간 정말 순삭임,1
3,14,10,연기구멍이 없어서 보기 좋았고요 마지막 메시지까지 완벽합니다,1
3,15,10,관람객들은 평점이 다 좋은데 평점테러한것들은 어떤인간이지,1
3,16,10,와 반전이네요 저희 엄마는 항상 영화를 지루하게보고 재미없다하는데 이번엔 재밌고 지루하지도 않았다고 하네요 신혜선님 연기 너무 잘하세요 몰입도가 아주 높았어요,1
3,17,10,배우들 연기가 너무좋았음 코로나 바이러스 다 찢어버릴 연기 배우 한명 한명 연기가 너무 좋아서 보는 내내 집중하게 만드는 너무좋은 영화 보고 왔음,1
3,18,8,그저 그랬던것 같아요,1
3,19,10,배우들 연기 다 괜찮은데 특히 동생역할한 배우 눈에 띄었음 신인인 것 같은데 굿 앞으로도 기대됨,1
3,20,10,조금은 과한 에 몰입감이 조금 흐려질 수 있었으며 중반부에 조금 늘어지는 듯하여 지루할뻔 하기도 하였으나 탄탄한 연기력을 보여주는 모든 배우들이 그 모든 것을 덮어내었다 허준호 배우님 정말 너무 너무 ,1
3,21,10,재밌게 봤습니다 신혜선 배우분 연기도 좋았고 스토리 자체도 나쁘지 않았습니다,1
3,22,10,신혜선과 배종옥 배우의 뛰어난 연기로 몰입하기 좋았습니다 긴장감 있으면서도 시원시원하게 전개되네요 엄마랑 극장에서 보면 좋을 영화로 추천합니다,1
3,23,10,배우들의 연기 특히 남동생 맡았던 배우의 연기가 너무 좋아서 끝나자마자 바로 찾아봤습니다 실화 바탕이라서 그런지 몰입감이랑 감동도 높았어요 엄마랑 같이보는거 추천합니다,1
3,24,10,오랜만에 극장에서 좋은 영화 본것같습니다,1
3,25,10,신혜선배우님 연기대박이시네요 영화스토리 너무좋았고 너무재미있게 잘봤어요  다음 영화나 드라마 나오시는것도 챙겨볼께요 신해선배우님 항상응원합니다,1
3,26,10,신혜선님과 배종옥님의 연기가 일단 흐름을 따라가기에 좋았다 특히 신혜선님의 딕션이 변호사라는 직업과 너무 잘 어울렸고 사건의 해결과 두 모녀의 감정선과거의 일들 모두 지루하지 않고 재밌었다,1
3,27,5,작품 후반에 나오는 정인의 대사에서 감독의 심정을 느꼈다왜 이렇게 됐는지 모르겠어요나도 영화가 왜 이렇게 된 건지 모르겠다,0
3,28,10,결백 개봉만 기다리고있었는데 무조건 강추입니다 캐릭터에 나도 모르게 감정이입되는 결말,1
3,29,10,신혜선 연기는 말이 필요없다,1
3,30,10,재미있고 인상깊은영화였어요,1
3,31,10,오우 최고였음감성을 자극하고 스토리도 무지 좋앗슈근래 본 영화중 최고였슈,1
3,32,10,부모자식간에끊을수없는사랑과진실앞에서의갈등을잘표현했으며주인공들은연기가어우려져가슴시린감동을주는영화,1
3,33,10,짙은 여운이 남는 영화 배우들의 연기가 훌륭했습니다,1
3,34,8,배우들이 연기를 정말 잘하시네요 몰입해서 잘봤습니다,1
3,35,10,엄마가 자꾸만 생각나는 영화 배종옥 허준호 배우의 일품연기는 물론이거니와 신혜선 홍경 배우의 재발견이라고 볼 수 있는 연기파 배우들의 멋진 영화인 것 같습니다 개봉해줘서 감사합니다ㅠㅜㅠㅠ,1
3,36,10,보통 평 잘 안 쓰는데 들어와서 쓰게 만드는 영화네요 ㅎㅎ일단 시작부터 집중하게 만들어 보는 내내 몰입하게 되네요스토리 구성이 탄탄하고 치밀한데다가 루즈한 순간도 없고 배우분들 연기도 좋아서 계속해서 몰,1
3,37,10,개봉전부터 보고싶었는데 시간 가는 줄 모르고관람했습니다 어느정도 스스로 내용을 그려가면서 보더라도 충분히 재미를 주네요 오랜만에 영화 봤는데 대만족입니다,1
3,38,10,간만에 극장 다녀온 보람이 있네요 무조건 보세요,1
3,39,10,워낙 연기력 탄탄하신 배우분들이 나오는 영화라 개봉 전부터 정말 기대했었는데 드디어 이제서야 나왔네요 기다리다 개봉날 바로 보고 왔습니다 역시나는 역시나네요 간만에 좋은 작품 보았어요 마스,1
3,40,10,결백 보려고 오랜만에 영화관 옴 존잼 오길 잘했음,1
3,41,6,연기만 좋고 스토리 개연성은 부족합니다,0
3,42,10,간만에 볼만한 영화입니다,1
3,43,10,기대했던것보다 재미있었어요배종옥연기 ㄷㄷ신혜선도 연기 잘하네요,1
3,44,10,출연진들의 탄탄한 연기력에 한 장면도 놓칠 수 없었다 결백의 의미에 대해 다시금 생각해 보게 하는 영화,1
3,45,10,재미있어요 연기 최고네요,1
3,46,10,신혜선 배종옥 혼신의 연기막판에 눈물 확 터뜨리네ㅠㅠ 아 슬프다,1
3,47,10,연기너무좋았어요 신혜선배우님 팬 됐음 다른 배우들도 연기력 영화 재미있게봤어요 감동도있고ㅠㅠ,1
3,48,8,연기는좋으나 약간 신파ㅠㅠ,1
3,49,6,연기는 다 좋았다 그러나스토리의 앞부분은 긴장감이 있었지만 끝 마무리가 급하고 허무했다 돈이 조금 아까웠다 그래도 연기력이 좋아서 집중은 되었던 것 같다,0
3,50,10,연기를 정말 잘하네요 코로나때문에 극장 못갔었는데 오랜만에 좋은영화 보고왔네요,1
4,0,10,관객에게 미끼를 던진 영화,1
4,1,10,반전에반전감독한테놀아난느낌,1
4,2,9,나감독 숨은 쉬게해줘야지,1
4,3,10,어이없어서 웃기고 그냥 보고난후 뭐지이느낌,1
4,4,1,할말없는 영화임본사람은 공감할듯무섭고 잔인하고 징그럽고 소름끼치는 반전까지 고루 갖췄지만 그 모든걸 넘어서는 찝찝함,0
4,5,8,보는 내내 골룸 생각났음ㅋㅋ,1
4,6,10,현혹된 자만이 느낄수 있는 공포 그리고 후유증,1
4,7,9,긴장감만점 다만점을준건 결말이 너무모호하다 개연성도 부족한거같고 천우희가도와준이유황전민정체할배가천우희쫓아뛰는이유 등등 감독한테직접물어보고싶은게많다,1
4,8,10,정말로 곡소리 나오는 영화 ,1
4,9,10,난해한거 싫어하시는 분들 비추천 불친절한 영화 싫어하시는 분들 비추천 의미부여 된거 일명 떡밥 해석하는거 싫어하시는 분들 비추천 그냥 별 생각않고 영화 즐기고픈 분들이 볼만 한 영화는 아님 그런 분들이 이,1
4,10,7,엔딩크레딧이 올라갈때 사람들의 반응은 절반은 욕하고 절반은 벙찐 상태가 된다 개인적으로 결국 영화에대한 생각은 계속 맴돌더라 찝찝함인지 궁금함인지 아직도 잘 모르겠다,1
4,11,6,초반엔 범인찾고 추리하는 스릴런줄 알았더만 생각해보니 그것도 일단은 맞네 미끼를 내가 물었구나,0
4,12,1,잘만들었지만 관람은 비추입니다,0
4,13,10,성인배우는 물론 아역연기가아주후기 신경안쓰고 보고싶으면 보고 후회는 절대 안하실듯,1
4,14,1,감독 이름부터 외웠다 다음부턴 안보려고,0
4,15,10,되게 토론하고싶은 영화  진짜 나랑같이 봤던 관객들붙잡아서 의견을 묻고싶은 영화,1
4,16,1,세의 황해 좀비 엑소시스트 이런 거 싫어하는 사람은 보지마세요 구역질납니다,0
4,17,10,끊임없이 의심하게 만드는 영화,1
4,18,8,살인의추억콘스탄틴새벽의저주디아더스추격자박수무당,1
4,19,1,무슨영화인지 모르겟다,0
4,20,1,배우들의 연기력과 숨을 조여오는 연출이 훌륭합니다근데 그게 다 내용과는 상관 없이 오로지 관객을 속여먹으려는 의도라는게 기가 막힙니다,0
4,21,10,몰입감 장난 아니네요 시간 반이 길게 안느껴져요 다보고 나오는데 뭔가 지침ㅎㅎ 근데 좀 난해해서 한번 더 봐야겠음,1
4,22,8,이상해요 무슨장르에요 이게,1
4,23,5,돈내고 스트레스를 받아왔다,0
4,24,9,한국영화 같지 않은 연출전개방식엔딩,1
4,25,1,내용도 없고 잔인한 장면만 많네요 부성애를 자극하려면 결말이라도 잘 내던가하지 배우의 연기력은 최고 평점이지만 스토리는 정말 아닌듯 합니다 보고 기분나쁜영화였습니다,0
4,26,8,음ㅋㅋㅋ 영화보고 왜케 기분 나쁘지,1
4,27,1,구라안치고 영화 엔딩크레딧 올라오자마자 다들 뭐야ㅋ이소리하고 나감,0
4,28,1,떡밥만 줄창 던지고 회수는 안되고 에라 모르겠다 반전이라 처먹어라 느낌 황정민은 개연성도 없도 뭣도 없는 역할 한편이야 뭐야 살날릴때 일본놈 억억 하는 건 왜 자꾸 화면에 잡아줌,0
4,29,1,볼때는 재밌었다 그렇게 끝날지 몰랐으니까,0
4,30,1,곡성이 관객을 낚았다,0
4,31,1,천원으로 밥을 사드새오,0
4,32,3,정말 지대로 낚네요 통수영화 지리구연,0
4,33,1,이게 왜 평론가들한테 극찬감이지ㅠㅠㅠ,0
4,34,1,별루 피칠갑만 잔뜩구경,0
4,35,10,관객을 악마처럼 손아귀에 가지고 논 나홍진감독에게 찬사를 바칩니다 카메라 앵글 조명 미쟝센까지 첫장면 부터 마지막까지 완벽하게 잘 짜여진 요 근래 한국 영화 최고의 작품입니다,1
4,36,6,천우희에서 끝났어야되 왜 갑자기 또 반전을 만들어서 에혀 좀비는 진짜 에러다ㅡㅡ,0
4,37,1,귀신이 예수 흉내내며 육체를 입기위해 사탄에게 사람을 제물로 바치는 인신제사를 모티브로 한 사타니즘 영화 신을 희롱하고 무지한 관객들을 우롱한다 영적인 시각이 없는 사람은 이 영화의 무서움을 알지못한 채 찝찝함만,0
4,38,1,죽기 전에 절대 이런 류의 영화를 다시는 보지 말아야겠다고 생각했습니다 모든 정신이 피폐해지는 느낌요즘 영화볼게 없어서 예매율 높은건듯,0
4,39,1,이 영화 재밌다고 하는 사람들 다시 보게되네요재밌다고 하는 사람들이 무서움,0
4,40,1,정말 짜증지대루남친과보다 헤어질뻔보자고한내가 죄인배우들연기력은 인정이가지만시나리오는 진짜대박그냥 보는내내 스트레스였음ㅠㅠ,0
4,41,7,넘 어려웠다 종교와 무속신앙 귀신과 악마동양과 서양 결말은 대체 어떤건지 하지만 정말 무서웠다 보는내내 내가 굿받는것같은현기증을 느꼈다,1
4,42,1,영화까는건 아닌데 솔직히 기대 이하는 확실하다시간분동안 스트레스 받을려면 이영화를 봐라 는 뎃글을보고 어떤 무식한놈이 이런뎃글을 남겨했는데그뎃글을 믿어야했다어떤사람에겐 재밋을지모르지만나에겐 정말 스트레스받,0
4,43,3,그닥 그래요 별로에요ㅠㅠㅠ,0
4,44,1,중간에나오고싶을정도기분나쁜영화,0
4,45,5,나홍진 전작을 생각하고가면 오산이다 뭔가 미스터리 스릴러가 있을꺼라고 생각했지만 그냥 미스터리만 남는다결말도 미스터리다,0
4,46,1,최고의 평론가가점줘서 봤는데 평론가급전필요했습니까동생엄마애인같이봤는데 동생한테 미안했네요 이게 세 말이 됩니까 내 휴일 내 돈 너무 아까웠네요볼건 배우들의 연기 연기는 정말 잘합니다다만 영화가 ,0
4,47,1,평점 잘주는 사람들 꿈보다 해몽이 예술이네 돈시간 버리고 싶은 사람은 극장에 보러 가시길 점도 아깝다는거에 공감,0
4,48,1,아는 척 좋아하는 해석충들이나 빨아댈 영화 아는 만큼 보이고 재밌다는데 아는 만큼 보이는건 맞는데 진심 재미가 하나도 없다 언플 농간에 놀아나지 마라 마치 벌거숭이 임금님을 보는 듯 하다 뭔 뜻인지 알거라 믿는다,0
4,49,1,번개맞고 좀비나오고 까마귀 날아다니고 난리 잡동사니,0
4,50,1,스트레스만 받고나왔네 ㅋㅋ 골룸녀석 ㅋㅋ,0
5,0,2,재밋게ㅤㅂㅘㅅ는데 낮에보지마라 급식들 존나시끄러워서 개팰번했다 호들갑들은 ㄹㅇ진짜 해설을쳐하고잇네,0
5,1,10,와 진짜 개무서움 진짜 막판에 무지막지하게 몰아침 하도 긴장하면서 봐가지고 온몸이 아픔 태어나서 본 영화중에 젤 무서움,1
5,2,9,지현이 눈깔 뒤집히면서 이상한 소리 할 때 공포영화 진짜 잘보는 나도 소름돋게 만들었다,1
5,3,10,술먹으러왔습니다 맨정신에못잘것같아서,1
5,4,10,따흐흑 이거 진짜 역대급으로 무서움,1
5,5,9,너무무서워서 중간에 나오고싶었음하,1
5,6,10,알바는무슨 존ㄴㄱㄴ무섭네,1
5,7,10,기담도 봤지만 기담보다 무서웠음ㅠㅠㅠㅠ 진짜 곤지암 체험하는 느낌,1
5,8,10,보지마세요 진짜 원주고 봤는데 병원비가 더 들어갈거 같아요 정신병원추천함,1
5,9,10,공포영화답게 무섭기도 최강인데 디테일 살린 연출도 아주 좋았습니다,1
5,10,6,필히 앞자리로 잡은세요화면이 연기자 시각에서 보이니 나두 저기있는듯 저영화를 숲속에서 상영하면 대박일듯,0
5,11,10,무섭다 너무 너무 무섭다와이프랑 보고 왔는데정말 최강으로 무섭다 나 원래 무서운거 잘보는데 내가 남자여도 이번건 진심 매우 무섭다다신 못보겠다,1
5,12,10,개봉 전부터 기대했는데 기대 이상 체험 공포라는 말이 딱 맞는 공포 영화였음,1
5,13,1,하나도 안무서웠습니다눈 커지는 장면에선 오하려 웃음이 났네요,0
5,14,10,마지막 분 꽉잡으세요 브레이크없이 훅 들어옵니다ㅋㅋㅋㅋ,1
5,15,8,랩하는 귀신이 제일 무서워요 솔직히 귀신 나오기 전이 제일 무서웠고 그 부터는 눈가리고 봤어요,1
5,16,1,귀찮지만 남김,0
5,17,8,대장아거길 왜 들어가ㅠㅠ,1
5,18,4,초반에 흔들리는거 너무 정신없음,0
5,19,8,진짜 고딩들 영화 볼때 매너 좀 지켜라 큰소리로 대화는 기본이고 전화받고 왔다리 갔다리 영화는 재밌었어요,1
5,20,8,밤에 봤는데 고딩들때메 집중못함,1
5,21,1,돈만 날렸네요 역시는역시,0
